CP_Hotellist;;
Grouped by Tier, URI and Query;;
;;
URI;Query;Count
/boka-resa;QueryDepID=2788&QueryCtryID=54906&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190117&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C5%2C9&QueryUnits=1;4
/boka-resa;QueryDepID=11937&QueryCtryID=22&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180521&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,13,15&QueryUnits=1;4
/boka-resa;QueryDepID=2770&QueryCtryID=54906&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181024&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=2774&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180902&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C2&QueryUnits=1;4
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180504&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&selectedTransport=CgJWUxIDQVJOGgNQTUkgCCoECO6TAjICNTE6AUU%3D;4
/boka-resa;QueryDepID=2583&QueryCtryID=32&QueryAreaID=0&QueryResID=312&QueryDepDate=20180807&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;4
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180504&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&orderBy=LP;4
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=0&QueryResID=215&QueryDepDate=20180519&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C6&QueryUnits=1&selectedTransport=CgJWUxIDQVJOGgNBWVQgCCoECI6UAjICNzI6AUU%3D;4
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180625&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180721&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;4
/boka-resa;QueryDepID=2770&QueryCtryID=20&QueryAreaID=80056&QueryResID=0&QueryDepDate=20180818&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;4
/boka-resa;QueryDepID=2788&QueryCtryID=30&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181228&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1;4
/boka-resa;QueryDepID=11937&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180603&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&selectedTransport=CgJWUxIDTU1BGgNIRVIgCCoECLKUAjICNDE6AUU%3D;4
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180621&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C2&QueryUnits=1&orderBy=HGR&selectedTransport=CgJWUxIDQVJOGgNDSFEgCCoECM6UAjICNDE6AUU%3D;4
/boka-resa;QueryDepID=2788&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180602&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;4
/boka-resa;QueryDepID=11937&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180717&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C7&QueryUnits=0&selectedTransport=CgJWUxIDTU1BGgNQTUkgCCoECIiVAjICNTE6AUU%3D&orderBy=LP;4
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=108&QueryResID=0&QueryDepDate=20180829&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C42%2C42%2C14&QueryUnits=0&orderBy=LP;4
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180623&QueryDur=8&CategoryId=2&QueryRoomAges=|42,10,15&QueryUnits=1;4
/boka-resa;QueryDepID=2788&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180516&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42&QueryUnits=0&selectedTransport=CgJWUxIDQVJOGgNTUFUgCCoECIyUAjICNjE6AUU%3D;4
