CP_Hotellist;
Grouped by Tier, URI and Query;
;
URI;Query
/boka-resa;QueryDepID=11937&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180622&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C8%2C14&QueryUnits=1&selectedTransport=CgJWUxIDTU1BGgNSSE8gDyoECNSUAjICNzE6AUU%3D
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180615&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,15,12&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=180&QueryDepDate=20181028&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,13&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=284&QueryDepDate=20180810&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,9,6,2&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180630&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C4&QueryUnits=0&selectedTransport=CgJWUxIDQVJOGgNTUFUgDyoECPaUAjICMzE6AUU%3D
/boka-resa;QueryDepID=11937&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180712&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&selectedTransport=CgJWUxIDTU1BGgNDSFEgCCoECIaVAjICNDE6AUU%3D&filter=false&orderBy=LP
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=80&QueryResID=0&QueryDepDate=20180706&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42,6&QueryUnits=1
/boka-resa;QueryDepID=2583&QueryCtryID=65&QueryAreaID=0&QueryResID=284&QueryDepDate=20180605&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C42&QueryUnits=0&selectedTransport=CgJWUxIDQ1BIGgNQTUkgCCoECK6UAjICMjE6AUU%3D
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180702&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C13&QueryUnits=0&selectedTransport=CgJWUxIDQVJOGgNQVksgCCoECOSUAjICMTE6AUU%3D
/boka-resa;QueryDepID=2783&QueryCtryID=65&QueryAreaID=0&QueryResID=227&QueryDepDate=20181028&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&firstDisplayed=CgJWUxIDT1JCGgNURlMgDyoECNCWAjICNzE6AUU%3D&selectedTransport=CgJWUxIDT1JCGgNMUEEgDyoECNyWAjICNjE6AUU%3D
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190224&QueryDur=8&CategoryId=2&QueryRoomAges=|42,17&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180518&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180615&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,15,12&QueryUnits=0
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=127&QueryResID=0&QueryDepDate=20180501&QueryDur=5&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2583&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180420&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
